Producto,Descripcion,Presentacion,Precio,Costo,Forma de uso,Ingredientes,1er. Ingrediente principal,2.do Ingrediente principal,3er. Ingrediente principal,Recomendado para
FT-ELYM DTX-OXIGEN,Al entrar en contacto con el agua potencializa los niveles de oxigeno. De manera que al entrar en contacto con la sangre purifica oxigena y desintoxica. Alcaliniza el potencial de hidregeno en la sangre (pH). AdemAs fortalece el sistema inmunologico protegiendo al cuerpo de virus bacterias y hongos. Limpia los filtros de oxigenacion como los pulmones higado y riñones atraves de la oxigenacion celular. Mantiene el higado sano evita la anemia mantiene un nivel adecuado de calcio en los huesos mejora la digestion contrarresta el mal aliento y ayuda a remover las grasas en procesos dieteticos.,Frasco 1L ,949,474.5,Agregar una cucharada en un vaso de agua antes de los alimentos tres veces al dia.,Vitamina C alfalfa alga espirulina clorofila piña diente de leon menta romero ortiga apio tomillo te verde hierbabuena calcio de coral perejil y estevia,1.- Piña: Contribuye a eliminar las toxinas a traves de la orina previene el estreñimiento y activa la absorcion de grasas. , 2.- Romero: Activa el sistema circulatorio y sistema nervioso central por ser un relajante. Se usa para dolores musculares. , 3.- Alga espirulina: Provoca una sensacion de saciedad mantiene los niveles de azucar en la sangre y ayuda a perder peso y mejorar la vision.,ACIDO URICO  ACNE  ALCOHOLISMO  ALERGIA  ALZHAIMER  AMENORREA  AMIGDALITIS  ANEMIA  APENDICITIS  ARRITMIA  ARRUCAS  ARTERIOESCLEROSIS  ARTRITIS  ASMA  BOCIO  BRONQUITIS  CALAMBRES  CANCER  CANSANCIO MENTAL  CARDIO VASCULAR  CATARATAS  CAiDA DE CABELLO  CELULITIS  CIATICA  CIRROSIS  COLESTEROL  COLITIS CORONAVIRUS  CALCULOS BILIARES  CALCULOS RENALES  DEMENCIA SENIL  DEPRESIoN  DERMATITIS  DIABETES  DIARREA  DIGESTION PEREZOSA  DIVERTiCULOS  DOLOR DE CABEZA  DOLOR DE ESPALDA  DOLOR DE RODILLA  ECCEMAS Y HERPES EPILEPSIA  FALTA DE ERECCIoN  FALTA DE OXIGENACION  FALTA DE PESO  FIBROMIALGIA  FIBROSIS  FIEBRE DEL HENO  FIEBRE REUMATICA  FLACIDEZ  FUEGOS LABIALES GOLPES GOTA HALITOSIS  HEMORROIDES HEPATITIS HERNIA HIATAL  HIGADO GRASO  HIGADO INTOXICADO  HIPOTIROIDISMO  IMPOTENCIA  INAPETENCIA  INDIGESTION  INFECCIONES  INFERTILIDAD FEMENINA  INFLAMACION  INFLUENZA  INSOMNIO  IRRITABILIDAD  MANCHAS DEL SOL  MENOPAUSIA  MIOMAS  NERVIOSISMO  OBESIDAD  OSTEOMIELITIS  OSTEOPOROSIS  PARKINSON  PAÑO  PRESIoN ALTA  PROSTATITIS  QUISTES  REUMATISMO  SISTEMA INMUNE DEBIL  SISTITIS TABAQUISMO  TIFOIDEA  TRAUMATISMO  VIRUS VITILIGO VARICES 
FT-ELYM DTX GEL,Esta elaborada mediante una combinacion perfecta de aceites esenciales terapeuticos orgAnicos. Asegura que su cuerpo queme grasa al tiempo que evita la celulitis y fortalece la piel para una apariencia juvenil Se enfoca en zonas de flacidez celulitis piel de naranja estrias piel colgante papada inflamacion hinchazon y mala circulacion.,Envase con 300gr,429,214.5,Apliquese directamente en el Area a tratar en forma de masaje suave despues del baño o antes de hacer ejercicio.,Colageno vitamina Ealgas marinas cola de caballo hiedra lecitina de soya limon menta L- Carnitina naranja romero sabila coenzima QI0 aceite esencial de toronja glicerina pura celulosa celamida y aceite esencial de frutas tropicales.,1.- Vitamina E: Actua como antioxidante al ayudar a proteger las celulas contra los daños causados por los radicales libres. , 2.- Aceite de toronja: Eficaz para eliminar los excesos de agua ya que ayuda a poner en marcha el sistema linfatico. , 3.- Algas marinas: Oxida la grasa corporal. Mejora la circulacion sanguinea y evita la piel de naranja.,FLACIDEZ  VARICES 
FITELYM DTOX CAPS,Desarrollada para deficencias metabolicas. Debido a su perfecta mezcla de nutrientes y fibra natural. fortalece el sistema digestivo para quemar mAs rApido grasas y carbohidratos acumulados. Se recomienda que durante su ingesta lo acompañes con una dieta a base de verduras carnes blancas y frutas.,Frasco con 30 caps,589,294.5,Como suplemente alimenticio tomar una cApsula por la mañana.,Linaza lima locitlna de soya semilla de lima papaya mango africano piña malva cayena jengibre y curcuma,1.- Cayena: Gracias a sus enzimas fibrosas nuestro cuerpo acelera el proceso de digestion ayudando a la perdida de peso. , 2.- Curcuma: Regula el pH de nuestro cuerpo elimina toxinas del cuerpo limpiando y regenerando el higado. AdemAs protege la glandula tiroides. , 3.- Mango africano: Acelera el metabolismo disminuye el hambre nerviosa.,HIPOTIROIDISMO 
FITELYM DTOX TE,Su principal beneficio es ayudar a controlar el hambre nerviosa. Acelera el proceso de digestion de los alimentos elimina el estreñimiento la quema de grasas elimina toxinas durante el proceso de desintoxicacion ayuda a reducir tallas. Regula los desordenes hormonales y desinflama el estomago.,Bolsa con 250gr,589,294.5,Dos cucharadas cafeteras (8g) en 500 ml. de agua caliente o fria por la mañana o por la noche o como agua de uso.,Te verde goji cafe verde cha de bugre Jengibre mango africano hoja de sen raiz de cocolmeca L- Carnitina y vitamina C B1 B6.,1.- Raiz de cocolmeca: Promueve la eliminacion de urea Acido urico y otros desechos orgAnicos. , 2.- Te verde: Influye en la funcion cerebral la perdida de grasa y disminuye el riesgo de padecer cAncer. , 3.- Cha de bugre: Aumenta la circulacion sanguinea desintoxica y combate la retencion de liquidos.,HIPOTIROIDISMO  INFLAMACION  TIROIDES 
FT-ELYM PRO CAPS,Gracias a sus lngredientes combate el estreñimiento cronico al desechar los residuos intestinales y limpiar nuestro organismo. El cuerpo empieza a funcionar de mejor manera favoreciendo la perdida de peso y quema de grasa desinflama el estomago y elimina liquidos retenidos ideal para tratar obesidad tipo 1 y 2.,Frasco 30 caps,589,294.5,Como suplemento alimenticio  una cApsula por la noche con un vaso de agua tomar 2L de agua al dia.,Cafe verde franbuesa cha de bugre te verde moringa sen naranja agria L- Carnitina y calcio.,1.- Cetonas de frambuesa: Extracto de frambuesas que aceleran el metabolismo contribuyendo a la perdida de peso y reduciendo el apetito. , 2.- Naranja agria: Por su alto contenido en fitonutrientes favorece la digestion desinflama reduce el colesterol y elimina la grasa. , 3.- Cha de Bugre: Aumenta la circulacion sanguinea desintoxica y elimina la retencion de liquidos.,DIGESTION PEREZOSA  OBESIDAD 
FTELYM-T PRO,Infusion soluble compuesta por una seleccion de hierbas y frutos preparada con el fin de dirigir al cuerpo hacia una desintoxicacion y limpieza a traves de la depuracion del Colon y la eliminacion de toxinas del organismo retirando residuos almacenados en nuestro intestino ademAs de acelerar la perdida de grasa.,Bolsa con 250gr,589,294.5,Disover 5g en 250ml de agua fria o caliente tomarlo por la mañana o la noche.,Vitamina B3 Cafe verde Naranja Agria Cha de Bugre Te Verde Moringa Frambuesa Calcio de coral.,1.- Moringa: Incrementa las defensas naturales del cuerpo. , 2.- Calcio de coral: Puede apoyar el fortalecimiento de huesos y musculos. , 3.- Frambuesa: Son ricas en calcio potasio vitamina B9 (Acido folico) y vitamina C.,DIGESTION PEREZOSA  OBESIDAD 
FT-ELYM DTX SHAKE,FitElym Dtox Shake contiene 18 nutrientes esenciales. Es un alimento en polvo de acuerdo con los estAndares internacionales mas altos Contiene proteina (22 g.) vitaminas (+10) extractos vegetales y otros ingredientes de primera calidad. La buena nutricion mejora la digestion y la flora intestinal. Aporta nutrientes y calcio a los huesos gracias a su contenido rico en calcio y colAgeno.,Bolsa con 500gr,589,294.5,Disolver 20g. en un vaso con agua (8 oz) y hielo por la mañana endulzar con estevia natural o miel.,Suero de leche proteina de soya hidrolizada zinc lecitina de soya estevia L- Carnitina noni vitamina A malmito tiamina magnesio sulfato ferroso leche de soya colageno hidrolizado quinoa avena y levadura de cerveza.,1.- ColAgeno: Acelera el crecimiento de uñas y cabello regenera celulas muertas de la epidermis mejora la firmeza de la piel y ayuda a cicatrizar. , 2.- Quinoa: Rico en omega 3 destacada por sus propiedades nutritivas y su alto contenido en aminoAcidos esenciales de la proteina. , 3.- Noni: Fruto que contribuye a la regulacion del pH neutraliza la acidez regenera el higado y posee un alto contenido en vitaminas y antioxidantes.,ENERGIA DIGESTION
MYMLK,Al ser una proteina de origen vegetal la leche de soya tiene valores nutricionales muy beneficiosos para nuestra salud. Ayuda a tener un corazon sano previene la osteoporosis cuida el sistema circulatorio y es un producto optimo para personas alergicas o intolerantes a la leche de vaca. EstA comprobado que luego de ser procesada la leche obtenida de la soya proporciona vitaminas y minerales de alto valor nutricional. A diferencia de la leche de vaca la leche de soya carece de colesterol no tiene acidos grasos saturados ni causa efectos dañinos en el organismo.,Bolsa con 450gr,229,114.5,Para 1L de agua 10 cucharadas soperas para un vaso de 200 ml 2 cucharadas soperas.,Fuente de proteinas vitaminas minerales y nutrientes.  Nivela las hormonas y retrasa el envejecimiento refuerza el sistema inmune alto contenido en fibra.,1.- Propiedades antiinflamatorias. , 2.- Propiedades antioxidantes funcionales , 3.- Propiedades restauradoras.,INTOLERANCIA A LA LACTOSA
MYMAHAL-EX,Los principios activos de la Mahal concetran extracto que junto a plantas como valeriana pasiflora y 7 azahares favorecen en la regeneracion del sistema nervioso.  AdemAs de coadyuvar en padecimientos como insomnio ataques leves de ansiedad palpitaciones nerviosas e irritabilidad. espasmos e hipertension arterial asociados a nervios dolores de cabeza migraña estres oxidativo vitiligo entre otros.,Frasco con 500ml,529,264.5,Tomar una copita (20 ml) dos veces al dia antes del desayuno y comida. Preferentemente sublingual.,Valeriana pasiflora flor de manila hierba de San Juan rhodiola tumba vaquero cedron toronjil tila albahaca 7 azahares L-Teanina Acido glutAmico L-Glutation 70% y agua purificada,1.- Tila: Relajante y somnifero tiene un efecto sedante en el sistema nervioso. Ayuda a quienes padecen nerviosismo insomnio  y estres. , 2.- Cedron: Como tratamiento fitoterapeutico para aumentar la energia vital y equilibra el sistema nervioso. , 3.- Albahaca: Ayuda a combatir el estres reduce los dolores de cabeza mejora la salud respiratoria la digestion  y protege los riñones.,ACIDEZ ESTOMACAL  ALCOHOLISMO  ARRITMIA  COLITIS EPILEPSIA  INSOMNIO  IRRITABILIDAD  MIGRAÑA  NERVIOSISMO 
REVENUE JUICE,Excelente antioxidante aumenta la energia evita cansancio e insomnio. Reduce el azucar en la sangre estabiliza la presion arterial. Fortalece el corazon higado riñones y pAncreas. Previene la oxidacion celular los sintomas causados por la edad el cAncer y enfermedades autoinmunes.,Frasco con 1L,899,449.5,Tomar una copita (20ml) diluida en medio vaso con agua tres veces al dia antes de cada alimento.,Goji Mangostan GuaranA Noni Te Verde ArAndano Tamarindo Guayaba Mango Semilla de uva Vitamina B1 Vitamina B6 Vitamina B12 Vitamina A Acido Folico.,1.- Guarana: Nivela el azucar en sangre limpia los riñones y el higado. Es un gran energetico. , 2.- Noni: Se recomienda para estimular el sistema inmunitario y combatir infecciones. , 3.- Semilla de uva: Es un excelente antioxidante elimina las celulas muertas. Limpia y regenera la epidermis.,ALERGIA  ALZHAIMER  ANEMIA  ASMA  BRONQUITIS  CANSANCIO MENTAL  CATARATAS  CORONAVIRUS  DEMENCIA SENIL  DOLOR DE CABEZA  EPILEPSIA  FALTA DE OXIGENACION  FALTA DE PESO  INAPETENCIA  INFLUENZA  SISTEMA INMUNE DEBIL  TIFOIDEA 
MY REVENUE SHAKE,Satisface los requerimientos nutricionales diarios para toda la familia (proteinas vitaminas y minerales). Ideal para prevenir y tratar anemia y deficiencias vitaminicas aumenta la capacidad de aprendizaje.,Bolsa con 500gr,899,449.5,Disolver 8g. en 250ml. de agua con hielos tomarlo por la mañana. No exceda la porcion recomendada.,(Informacion de ingredientes no detallada en el documento),1.- Noni: Se recomienda para estimular el sistema inmunitario y combatir infecciones. , 2.- ColAgeno: Acelera el crecimiento de uñas y cabello regenera celulas muertas de la epidermis mejora la firmeza de la piel y ayuda a cicatrizar. , 3.- Proteina de chicharo: unica proteina libre de gluten nutre y desintoxica las celulas. Estimula la produccion de calcio.,ANEMIA  FALTA DE PESO  INAPETENCIA  SISTEMA INMUNE DEBIL 
MY REVENUE CAPS,Gracias a sus ingredientes revitaliza y funciona como antioxidante. Nos brinda la cantidad correcta de vitaminas y minerales elimina sustancias toxicas del cuerpo protegiendo a las celulas y mitocondrias del daño oxidativo y peroxidacion ademAs de sus efectos energizantes y revitalizantes. Estimula la energia fisica y mental evita la fatiga y el agotamiento fisico. Aporta vitaminas al sistema inmunologico.,Frasco con 60 caps,599,299.5,Tomar una cApsula al dia,Vitamina B1 Vitamina B6 Vitamina B2 Vitamina A Acido folico Vitamina B12 Vitamina C Granada Acai Noni GuanAbana GuaranA Mangostan Goji L-Glutation.,1.- Guarana: Nivela el azucar en sangre limpia los riñones y el higado. Es un gran energetico. , 2.- L-Glutation: Aumenta el potencial de los antioxidantes. Protege las celulas de los daños causados por la radiacion. , 3.- Guanabana: Alto contenido en vitaminas minerales y antioxidantes. EstA comprobado que el jugo de GuanAbana ayuda a combatir el cAncer.,FORTALECER EL SISTEMA INMUNE
OMG 369,Excelente suplemento alimenticio para regular los niveles de glucosa en la sangre y trigliceridos. Fortalece articulaciones musculos y huesos. Absorbe la grasa de la sangre limpiando las arterias. Mejora niveles de concentracion y retencion.,Frasco con 60 oil caps,599,299.5,Tomar una cApsula al dia despues del desayuno.,Aceites de mezclas de pescados (salmon anchoa y mackerel). Acido Eicosapentaenoico (EPA) Acido Docosahexaenoico (DHA).,1.- Aceite de salmon: Es excelente regulador de los niveles de glucosa en la sangre fortalece los huesos y dientes. Mejora los niveles de concentracion y aprendizaje. , 2.- DHA: Contrarresta los niveles altos de colesterol en la sangre ademAs regula los trigliceridos.,,ARRITMIA  ARTERIOESCLEROSIS  CARDIO VASCULAR  CAiDA DE CABELLO  COLESTEROL  COLITIS DOLOR DE CABEZA  FALTA DE OXIGENACION  MIGRAÑA  PARKINSON  SISTEMA INMUNE DEBIL 
REVEN-VIT,Mejora la Funcion Cognitiva: Aumenta la capacidad del cerebro para procesar analizar y recordar informacion. Potencia habilidades como el pensamiento critico la memoria la atencion y el aprendizaje de nuevas habilidades. Promueve el sistema Nervioso Saludable: Contribuye al buen funcionamiento del sistema nervioso. Aumenta los niveles de Energia: Inhibe la fatiga el cansancio y el dolor corporal incluyendo pies espalda jaquecas y migrañas. Alivio de Dolor: Efecto analgesico frente a dolores neuropaticos. Combate el cansancio Fisico y Mental: Reduce la sensacion de fatiga y promueve un bienestar general. Contribuye a la Salud General: Mejora la salud cerebral cardiaca y regula los niveles de energia. Tambien ayuda a disminuir el estres aumenta la concentracion y fortalece la inmunidad. Prevencion de Anemia: Ayuda a la formacion de globulos rojos esencial para prevenir la anemia. Complejo B: Ideal para cubrir demandas vitaminicas aumentadas por condiciones como diabetes mellitus en adultos mayores y alcoholicos cronicos asi como deficiencias causadas por actividad fisica intensa.,Frasco 30 caps softgel ,599,299.5,Tomar una cApsula softgel por la mañana.,Cereza de cafe Cocoa Te verde Noni Maitake Chaga Shitake Goji Vitamina A Vitamina C Complejo B.,1.- Complejo B: Ideal para cubrir demandas vitaminicas aumentadas. , 2.- Vitamina C (Acido absorbico): Formacion colageno cartilago vasos sanguineos. , 3.- Vitamina B1 (tiamina): Salud de los organos. ,MEJORA LA FUNCIoN COGNITIVA MEJORA EL SISTEMA INMUNE MAS ENERGIAESTRES
ORIGEN CAFE,Tomar cafe tambien es una tendencia ecologica ya que su cereza lleva un proceso mAs natural y potencializa sus beneficios pues es 2 veces mAs antioxidante que el de mesa. AdemAs de ayudar a quemar grasa disminuir los niveles de glucosa y colesterol en la sangre. Gracias a los beneficios de sus ingredientes promueve la longevidad.,1Kg,1459,729.5,Disolver 8g en 250 ml de agua fria o caliente tomarlo por la mañana o noche.,Cereza de cafe Cocoa Te verde Noni Maitake Chaga Shitake Goji Vitamina A Vitamina B3 Vitamina C.,1.- Ganoderma: Es un hongo saludable utilizado en la medicina tradicional china para promover la longevidad prevenir el cancer tiene un efecto hepAtico protector. , 2.- Cereza de cafe: Conocida por tener dos veces mAs nutrientes que solamente la semilla de cafe. Contiene antioxidantes que optimizan a funcion de los organos. , 3.- Reichi: Contiene una gran cantidad de Acidos alcaloides naturales que ayudan a nuestro cuerpo a mejorar el desgaste fisico y mental.,BOCIO  CANCER  CANSANCIO MENTAL  CALCULOS RENALES  DEPRESIoN  FALTA DE ERECCIoN  IMPOTENCIA  VIRUS VITILIGO
MY BIO-NCO,Sus principales ingredientes tienen una funcion antiviral antitumoral antirreumatica lo que impide la implantacion de celulas cancerigenas tumores quistes y miomas; trabaja en la degradacion de los mismos y hace mAs resistente al sistema inmune ademAs de controlar alergias.,Bolsa con 250gr,589,294.5,Disolver 5g en 250ml de agua fria o caliente tomarlo por la noche o por la mañana. No exceda la dosis recomendada.,Stevia Moringa Cancerina Cardo bendito Semilla de uva Guanabana Noni Yca Tamarillo Menta en polvo.,1.- Tamarillo: AdemAs de ayudar a nuestra belleza juventud e incluso a perder peso protege el organismo de la contaminacion y de los efectos del tabaco. Mejora la circulacion y purifica la sangre. , 2.- Guanabana: Alto contenido en vitaminas minerales y antioxidantes. EstA comprobado que el jugo de Guanabana ayuda a combatir el cancer especialmente el de mama Colon prostata y pulmones. , 3.- Semilla de Uva: Es un excelente antioxidante elimina las celulas muertas. Limpia y regenera la epidermis.,ALERGIA  ALZHAIMER  AMENORREA  AMIGDALITIS  APENDICITIS  ARTERIOESCLEROSIS  ARTRITIS  ASMA  BOCIO  BRONQUITIS  CANCER  CIRROSIS  CORONAVIRUS  CALCULOS BILIARES  CALCULOS RENALES  FALTA DE OXIGENACION  FIBROSIS  FIEBRE DEL HENO  FIEBRE REUMATICA  GOTA HEMORROIDES HERNIA HIATAL  HIPOTIROIDISMO  INFECCIONES  INFERTILIDAD FEMENINA  INFLUENZA  MENOPAUSIA  MIOMAS  OSTEOMIELITIS  OSTEOPOROSIS  PROSTATITIS  QUISTES  REUMATISMO  SISTITIS TABAQUISMO  TIROIDES  TRAUMATISMO  VIRUS
SUKER CAPS,Gracias a sus ingredientes. Suker capas regenera y desintoxica el higado pAncreas y vesicula. Es por eso que coadyuva en el tratamiento de enfermedades de la piel y ulceras estomacales. Las raices y tuberculos ayudan a contrarrestar la diabetes mellitus. AdemAs son antiinflamatorio y benefician en caso de dificultades reumAticas.,Frasco con 60 caps,429,214.5,Tomar una capsula al dia despues del desayuno.,GuayacAn amarillo Guarana Estearato de magnesio Perejil Xoconostle Neem Palo de arco Matarique.,1.- Perejil: Actua como diuretico antianemico y anticancerigeno. Limpia el sistema biliar y el sistema urinario. , 2.- Xoconostle: Fortalece el sistema inmune. Regula la circulacion y la reparacion de cartilago. Contribuye a la regeneracion de tendones ligamentos y piel. , 3.- Yaca: Es una buena fuente de antioxidantes que protege a nuestro organismo y elimina los radicales libres. Controla los niveles de presion arterial.,APENDICITIS  CIRROSIS  HEPATITIS HIGADO GRASO  HIGADO INTOXICADO  PRESIoN ALTA 
SUKER JUICE,Gracias a su formula amarga es excelente para combatir problemas mAs relacionados con el higado intoxicado. Se utiliza como auxiliar en el tratamiento de diabetes y regeneracion del pAncreas. Regula los niveles de colesterol y trigliceridos. Fortalece el sistema inmunologico biliar antibacteriano acelera la cicatrizacion interna y auxiliar en casos de cirrosis.,Frasco con 500ml,589,294.5,Diluir 15ml en 250 ml despues del desayuno,GuayacAn amarillo Guarana goma Xantana Perejil Yaca Guanabana Xoconostle Neem Palo de arco Matarique.,1.- Neem: Excelente antioxidante elimina toxinas y radicales libres causales del cancer. Limpia la sangre y protege el higado y riñones. , 2.- Perejil: Actua como diuretico antianemico y anticancerigeno. Limpia el sistema biliar y el sistema urinario. , 3.- Yaca: Es una buena fuente de antioxidantes que protege a nuestro organismo y elimina los radicales libres. Controla los niveles de presion arterial.,ACIDO URICO  ALCOHOLISMO  APENDICITIS  CIRROSIS  COLESTEROL  CALCULOS BILIARES  DERMATITIS  DIABETES  ECCEMAS Y HERPES FUEGOS LABIALES HALITOSIS  HEPATITIS HIGADO GRASO  HIGADO INTOXICADO  INFECCIONES  MANCHAS DEL SOL  PRESIoN ALTA  TABAQUISMO  TIFOIDEA 
SAVERA,Excelente en el problema de gastritis colitis estreñimiento y agruras. Es excelente cicatrizante en caso de ulceras gastricas. Protege la flora intestinal y previene el cAncer de Colon y diverticulosis. Reduce el colesterol la glucosa en la sangre (diabetes) y mejora la circulacion.,Frasco 1L ,589,294.5,Disolver 8g en 250 ml de agua tomarlo por la mañana antes del desayuno.,Magnes Vitamina B1 B2 B3 Vitamina A Goji Arandano Acai Piña Hierba del pollo Muitle Inulina de agrave.,1.- Hierba de poll: Depura la sangre de toda clase de impurezas; es digestiva diuretica descongestionante antiinflamatoria y actua contra malestares hepAticos problemas renales y denticion en niños. AdemAs coadyuva en tratamientos para heridas y hemorragias. , 2.- Piña: Contribuye a eliminar las toxinas a traves de la orina previene el estreñimiento y activa la absorcion de grasas. , 3.- Goji: Excelente antioxidante. Ayuda a regenerar celulas nuevas en nuestro cuerpo aumenta las defensas y aporta hierro y vitaminas.,ACIDEZ ESTOMACAL  ACIDO URICO  AGRURAS  AMENORREA  COLESTEROL  COLITIS DIABETES  DIARREA  DIGESTION PEREZOSA  DIVERTiCULOS  FIEBRE DEL HENO  GASTRITIS GOLPES HEMORROIDES HEPATITIS HERNIA HIATAL  HIGADO GRASO  HIGADO INTOXICADO  INDIGESTION  INFLAMACION  OBESIDAD  PRESIoN ALTA  TIROIDES 
MY GS-TREL CAPS,El sistema digestivo es el encargado de transformar los alimentos para que las celulas del organismo absorban los nutrientes y los usen como energia. Alivia los sintomas de la gastritis acidez estomacal indigestion diarrea y ulceras gastricas.,Frasco con 60 caps,429,214.5,Tomar una cApsula por la mañana.,Menta Blanca Tlanchichinole Te verde Nopal Cancerina Tepezcohuite Vitamina B3.,1.- Te verde: Mejora la funcion Cerebral la perdida de grasa y disminuye el riesgo de padecer cancer. , 2.- Tepezcohuite: Se le atribuyen propiedades cicatrizantes. , 3.- Tlanchichinole: Tiene actividad antimicobacteriana y antiprotozoaria.,AGRURAS  GASTRITIS
INTENS-MN,Por su compuesto de nutrientes contiene muchas propiedades nutritivas y energeticas que pueden mejorar tu rendimiento fisico. Intens-Mn potencializa tu rendimiento fisico y mental asi tambien la energia y la resistencia a los efectos perjudiciales del estres y del envejecimiento. Intens-Mn tambien se emplea para aumentar el rendimiento sexual. Se le recomienda consumir a las personas que quieran mejorar su rendimiento fisico e incrementar el vigor sexual.,Frasco 30 caps softgel ,599,299.5,Tomar una capsula softgel por la mañana o por la noche.,Calcio de Coral VitaminaB3 Vitamina B2 Vitamina E Vitamina B6 Vitamina A Vitamina D3 Vitamina B1 Vitamina C Tribulus Ashwagandha Maca Zarzaparilla.,1.- Calcio de coral: Puede apoyar al fortalecimiento de huesos y musculos. , 2.- Maca: Propiedades energizantes y nutritivas gracias a su contenido en proteinas carbohidratos calcio fosforo yodo hierro Vitamina B y Vitamina C. , 3.- Zarzaparilla: Actua como expectorante diuretico depurativo y antiinflamatorio.,RENDIMIENTO SEXUAL MASCULINO
FTX PLUS,Las propiedades de este producto gracias a sus ingredientes ayudan en caso de osteosarcoma. Aumenta el nivel de calcio y flexibilidad. Previene artritis reumatoide y deformacion en los huesos evita rigidez en las articulacion dolor de espalda coyunturas y rodillas. Previene la osteoporosis y osteoartritis.,Frasco con 30 tabletas,529,264.5,Tomar una tableta al dia.,Vitamina C Potasio Vitamine E Calcio de Coral Vitamina D3 Cartilago de tiburon Encino Sauce blanco Guasimo.,1.- Cartilago de tiburon : Regenra los tendones evita la osteoporosis y regenera los huesos. , 2.- Calcio de Coral : Puede apoyar al fortalecimiento de huesos y musculos. , 3.- Guasimo : Contiene compuestos que podrian actuar como antioxidantes protegiendo las celulas del daño oxidativo.,ARTRITIS  CALAMBRES  CIATICA  DOLOR DE ESPALDA  DOLOR DE RODILLA  FIBROMIALGIA  FIEBRE REUMATICA  OSTEOMIELITIS  OSTEOPOROSIS  REUMATISMO  TRAUMATISMO 
LIVE + TE,Infusion soluble antioxidante y energetico que gracias a sus beneficios provee de energia evita la fatiga y el cansancio fisico emocional e intelectual. Amplia el rendimiento fisico. Favorece la oxigenacion celular haciendo que la circulacion sanguinea sea mAs eficaz.,Bolsa con 250gr,599,299.5,Disolver 5g en 250ml de agua fria o caliente tomarlo por la mañana o por la noche. No exceda la dosis recomendada.,Mangostan Goji Semilla de Uva Stevia Yerba Mate Te verde Rhodiola Noni Guarana Maca Zarzaparilla Vitamina C Vitamine E Vitamina B3 Vitamina B5 Vitamina B6 Vitamina B1 Vitamina A Vitamina D.,1.- Goji: Excelente antioxidante. Ayuda a regenerar celulas nuevas en nuestro cuerpo aumenta las defensas y aporta hierro y vitaminas. , 2.- Mangostan: Contiene vitaminas C y E asi como zinc que ayuda a fortalecer el sistema inmunologico. , 3.- Yerba Mate: Puede tener efectos antiinflamatorios.,DEPRESIoN  FALTA DE ERECCIoN  IMPOTENCIA 
