"condición catalogada","síntomas o frases relacionadas"
"acidez estomacal","ardor en el estómago, sensación de quemazón, reflujo"
"ácido úrico","dolor en articulaciones, hinchazón en dedos, gota"
"agruras","acidez en la garganta, ardor estomacal, sabor amargo"
"colitis","panza inflamada, dolor abdominal, retortijones, gases"
"diarrea","evacuaciones líquidas frecuentes, dolor estomacal"
"digestión perezosa","pesadez después de comer, comida que tarda en digerirse"
"divertículos","dolor bajo del abdomen, molestias al evacuar"
"flacidez","piel suelta, pérdida de firmeza, músculos sin tono"
"gastritis","ardor estomacal, dolor en la boca del estómago, náuseas"
"hígado graso","dolor en costado derecho, fatiga, vientre inflamado"
"hígado intoxicado","dolor en el lado derecho del abdomen, náuseas, fatiga, mal aliento"
"indigestión","pesadez estomacal, eructos frecuentes, comida que no cae bien, náuseas"
"acné","granos, espinillas, puntos negros, brotes en la piel"
"arrugas","líneas de expresión, piel con pliegues, envejecimiento visible, piel flácida"
"caída de cabello","se me cae el pelo, pérdida de cabello, pelo débil, calvicie"
"celulitis","piel de naranja, hoyuelos en piernas, grasa localizada, muslos con bultitos"
"dermatitis","piel irritada, sarpullido, enrojecimiento, picazón en la piel"
"eccemas y herpes","ampollas, costras, ardor en la piel, piel con lesiones recurrentes"
"vitiligo","manchas blancas en la piel, pérdida de color en la piel, despigmentación"
"alcoholismo","consumo excesivo de alcohol, dependencia al alcohol, no puedo dejar de beber"
"anemia","cansancio constante, piel pálida, mareos, uñas quebradizas"
"apendicitis","dolor fuerte en el costado derecho bajo, fiebre, náuseas, abdomen inflamado"
"bocio","inflamación en el cuello, presión al tragar, sensación de nudo en la garganta"
"cataratas","visión borrosa, ojos opacos, dificultad para ver de noche"
"colesterol","colesterol alto, grasa en sangre, arterias tapadas, sin síntomas visibles"
"falta de peso","me veo muy delgado, no aumento de peso, ropa me queda grande"
"fibromialgia","dolor muscular crónico, fatiga, insomnio, sensibilidad general"
"fibrosis","rigidez en tejidos, cicatrices internas, pérdida de función orgánica"
"fiebre del heno","estornudos, picazón nasal, ojos llorosos, congestión estacional"
"gota","dolor intenso en articulaciones, dedo gordo inflamado, ácido úrico alto"
"inapetencia","no me da hambre, falta de apetito, rechazo a la comida"
"infertilidad femenina","no puedo embarazarme, ciclos irregulares, problemas hormonales"
"influenza","fiebre, cuerpo cortado, tos seca, malestar general"
"irritabilidad","me enojo fácilmente, cambios de humor, me altero con todo"
"manchas del sol","piel manchada, manchas cafés, melasma en el rostro"
"migraña","dolor de cabeza intenso, sensibilidad a la luz, náuseas"
"miomas","sangrado abundante, menstruación irregular, dolor pélvico"
"nerviosismo","me tiemblan las manos, no me puedo relajar, ansiedad constante"
"obesidad","peso elevado, acumulación de grasa, dificultad para moverse"
"osteomielitis","dolor profundo en los huesos, inflamación crónica, fiebre persistente"
"osteoporosis","huesos frágiles, dolor óseo, fracturas frecuentes, pérdida de estatura"
"parkinson","temblores en manos, rigidez muscular, lentitud de movimiento"
"paño","manchas oscuras en la cara, melasma, tono desigual de piel"
"quistes","bolitas internas, inflamación localizada, molestias hormonales"
"reumatismo","dolor articular, rigidez crónica, inflamación en manos o pies"
"tifoidea","fiebre alta, dolor abdominal, diarrea, malestar general"
"traumatismo","golpes fuertes, inflamación, moretones, movilidad limitada"
"alergia","estornudos, picazón, ronchas, ojos llorosos"
"amigdalitis","dolor de garganta, inflamación, dificultad para tragar"
"asma","silbidos al respirar, falta de aire, opresión en el pecho"
"bronquitis","tos con flema, dolor en el pecho, dificultad para respirar"
"coronavirus","fiebre, tos seca, pérdida del olfato o gusto, dificultad para respirar"
"virus","fiebre, cuerpo cortado, malestar general, dolor muscular"
"alzhaimer","olvidos frecuentes, desorientación, pérdida de memoria reciente"
"cansancio mental","me siento saturado, no me puedo concentrar, agotamiento mental"
"demencia senil","confusión, olvido de fechas, desubicación, pérdida de memoria"
"depresion","tristeza profunda, falta de motivación, aislamiento, llanto constante"
"epilepsia","convulsiones, pérdida de conocimiento, espasmos repentinos"
"insomnio","no puedo dormir, me despierto mucho, sueño liviano o interrumpido"
"amenorrea","no me baja, falta de menstruación, ausencia de regla por meses"
"diabetes","mucha sed, orino mucho, visión borrosa, glucosa alta"
"hipotiroidismo","aumento de peso sin razón, cansancio, piel seca, frío constante"
"menopausia","bochornos, cambios de humor, reglas irregulares o ausentes"
"prostatitis","dolor al orinar, urgencia frecuente, inflamación de próstata"
"tiroides","bultos en el cuello, cambios de peso, nerviosismo o lentitud"
"arritmia","palpitaciones, latidos irregulares, sensación de vacío en el pecho"
"arterioesclerosis","piernas entumidas, circulación deficiente, presión alta"
"cardio vascular","dolor en el pecho, fatiga, falta de aire al caminar"
"golpes varices","venas inflamadas, moretones, piernas sensibles al tacto"
"presion alta","dolor de cabeza, mareos, zumbido de oídos, tensión alta"
"varices","venas abultadas, dolor en piernas, cansancio, color morado"
"artritis","dolor en articulaciones, rigidez, hinchazón, calor local"
"calambres","espasmos musculares, dolor repentino, piernas que se contraen"
"ciática","dolor que baja por la pierna, nervio inflamado, ardor lumbar"
"dolor de cabeza","presión en la frente o sienes, punzadas, molestia con luz"
"dolor de espalda","molestia en la zona lumbar, no puedo agacharme, tensión muscular"
"dolor de rodilla","molestia al subir escaleras, rodilla inflamada o que truena"
"cálculos biliares","dolor agudo después de comer grasa, vómitos, dolor bajo las costillas derechas"
"cálculos renales","dolor al orinar, punzadas en la espalda baja, sangre en la orina"
"cirrosis","piel amarilla, abdomen hinchado, cansancio extremo, vómito con sangre"
"hepatitis","ojos amarillos, orina oscura, dolor en el hígado, cansancio extremo"
"sistitis","dolor al orinar, ganas frecuentes, ardor al ir al baño"
"cáncer","bultos, pérdida de peso repentina, sangrado inexplicable"
"falta de erección","no puedo mantener la erección, impotencia, bajo deseo sexual"
"halitosis","mal aliento, boca seca, sabor metálico persistente"
"infecciones","fiebre, enrojecimiento, pus, inflamación local"
"inflamación","enrojecimiento, zona caliente o hinchada, dolor localizado"
"tabaquismo","tos crónica, dificultad para respirar, adicción al cigarro"
